Index,ProductId,ProductName,Branch,level_1,level_2,level_3,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
8651,5010587-EA-000NW,Maggi 3 Minute Pasta Alfredo,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Pasta Meals,1.69,ea,FALSE,,1.69,,,
8652,5010589-EA-000NW,Maggi 3 minute Pasta Three Cheese,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Pasta Meals,1.69,ea,FALSE,,1.69,,,
8653,5010594-EA-000NW,Maggi Beef Stock & Seasoning,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Stock,3.69,ea,FALSE,,3.69,,,
8654,5010595-EA-000NW,Maggi Chicken Stock & Seasoning,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Stock,3.69,ea,FALSE,,3.69,,,
8655,5010596-EA-000NW,Maggi Green Herb Stock Powder & Seasoning,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Stock,3.69,ea,FALSE,,3.69,,,
8656,5010600-EA-000NW,Uncle Ben's Basmati Microwave Rice Pouch,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Instant Rices,2.79,ea,FALSE,,2.79,,,
8657,5010601-EA-000NW,Uncle Ben's Golden Vegetable Microwave Rice Pouch,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Instant Rices,2.79,ea,FALSE,,2.79,,,
8658,5010602-EA-000NW,Uncle Ben's Long Grain Microwave Rice Pouch,New World Mt Roskill,Pantry,"Pasta, Rice & Noodles",Instant Rices,2.79,ea,FALSE,,2.79,,,
8659,5010607-EA-000NW,Le Snak Cheese Dip With Crispbread,New World Mt Roskill,Pantry,Snack Foods,Cereal & Snack Bars,6.59,ea,FALSE,,6.59,,,
8660,5010610-EA-000NW,Le Snak Cheese Dip With Crispbread,New World Mt Roskill,Pantry,Snack Foods,Cereal & Snack Bars,4.49,ea,FALSE,,4.49,,,
8661,5010614-EA-000NW,Jack Link's Teriyaki Beef Jerky,New World Mt Roskill,Pantry,Snack Foods,Meat Snacks,4.89,ea,FALSE,,4.89,,,
8662,5010615-EA-000NW,Jack Link's Original Beef Jerky,New World Mt Roskill,Pantry,Snack Foods,Meat Snacks,4.89,ea,FALSE,,4.89,,,
8663,5010616-EA-000NW,Jack Link's Barbecue Beef Jerky,New World Mt Roskill,Pantry,Snack Foods,Meat Snacks,4.89,ea,FALSE,,4.89,,,
8664,5010631-EA-000NW,Whittaker's Sante Dark Ghana Chocolate 72% Cocoa,New World Mt Roskill,Pantry,Confectionery,Novelty Bars & Singles,2.39,ea,FALSE,,2.39,2.39,1,Saver
8665,5010644-EA-000NW,Maggi Brown Onion Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8666,5010645-EA-000NW,Maggi Chicken & Herb Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8667,5010646-EA-000NW,Maggi Light Brown Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8668,5010647-EA-000NW,Maggi Rich Brown Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8669,5010648-EA-000NW,Maggi Rich Meat Flavoured Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8670,5010649-EA-000NW,Maggi Roast Chicken Flavoured Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8671,5010650-EA-000NW,Maggi Roast Meat Flavoured Gravy Mix,New World Mt Roskill,Pantry,"Sauces, Stock & Marinades",Gravies,0.99,ea,FALSE,,0.99,0.99,1,Saver
8672,5010652-EA-000NW,Wrigley's Extra Peppermint Sugarfree Gum,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,2.2,ea,FALSE,,2.2,,,
8673,5010653-EA-000NW,Wrigley's Extra Spearmint Sugarfree Gum,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,2.2,ea,FALSE,,2.2,,,
8674,5010663-EA-000NW,Copper Kettle Sea Salt Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8675,5010664-EA-000NW,Copper Kettle Sea Salt & Vinegar Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8676,5010665-EA-000NW,Copper Kettle Wood Fired BBQ Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8677,5010672-EA-000NW,Hansells Natural Coconut Essence,New World Mt Roskill,Pantry,Baking Supplies & Sugar,Essences & Colourings,2.29,ea,FALSE,,2.29,2.29,1,Saver
8678,5010681-EA-000NW,Healtheries Kidscare Sour Cream & Chives Rice Wheels,New World Mt Roskill,Pantry,Snack Foods,Chips,3.99,ea,FALSE,,3.99,3.99,1,Saver
8679,5010707-EA-000NW,Abe's Roasted Garlic Bagel Crisps,New World Mt Roskill,Pantry,Snack Foods,Bread Snacks,3.85,ea,FALSE,,3.85,,,
8680,5010709-EA-000NW,Abe's Marlborough Sea Salt Bagel Crisps,New World Mt Roskill,Pantry,Snack Foods,Bread Snacks,3.85,ea,FALSE,,3.85,,,
8681,5010710-EA-000NW,Darrell Lea Liquorice Classic,New World Mt Roskill,Pantry,Confectionery,Liquorice,3.49,ea,FALSE,,3.49,,,
8682,5010716-EA-000NW,Bluebird Original Cut Chicken Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8683,5010717-EA-000NW,Bluebird Original Cut Ready Salted Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8684,5010718-EA-000NW,Bluebird Green Onion Original Cut Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8685,5010719-EA-000NW,Bluebird Original Cut Salt & Vinegar Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8686,5010720-EA-000NW,Bluebird Sour Cream & Chives Original Cut Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8687,5010721-EA-000NW,Bluebird Thick Cut Ready Salted Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8688,5010722-EA-000NW,Bluebird Thick Cut Sour Cream & Chives Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,2.19,ea,FALSE,,2.19,,,
8689,5010739-EA-000NW,Sanitarium Crunchy Peanut Butter,New World Mt Roskill,Pantry,"Jams, Honey & Spreads",Nut Spreads,3.99,ea,FALSE,Limit 6 assorted,3.99,3.99,1,Super Saver Club Deal
8690,5010740-EA-000NW,Sanitarium Smooth Peanut Butter,New World Mt Roskill,Pantry,"Jams, Honey & Spreads",Nut Spreads,3.99,ea,FALSE,Limit 6 assorted,3.99,3.99,1,Super Saver Club Deal
8691,5010747-EA-000NW,Cadbury Dairy Milk Chocolate Treat Size 15 Pack,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,3.49,ea,FALSE,,3.49,3.49,1,Club Deal
8692,5010764-EA-000NW,Bluebird Originals Combo Potato Chips Snack Pack,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,4.39,ea,FALSE,,4.39,,,
8693,5010765-EA-000NW,Fantastic Original Rice Crackers,New World Mt Roskill,Pantry,Biscuits & Crackers,Rice Crackers,1.59,ea,FALSE,,1.59,1.59,1,Club Deal
8694,5010807-EA-000NW,M&M's Crispy Chocolate Bag,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8695,5010808-EA-000NW,M&M's Milk Chocolate Bag,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8696,5010809-EA-000NW,M&M's Mix Ups Chocolate Bag,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8697,5010810-EA-000NW,M&M's Peanut Chocolate Bag,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8698,5010811-EA-000NW,M&M's Minis Milk Chocolate Bag,New World Mt Roskill,Pantry,Confectionery,Chocolate Family Bags,2.99,ea,FALSE,Limit 12 assorted,2.99,2.99,1,Super Saver
8699,5010813-EA-000NW,Tic Tac Orange Confectionery,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.99,ea,FALSE,,1.99,1.99,1,Club Deal
8700,5010814-EA-000NW,Tic Tac Peppermint Confectionery,New World Mt Roskill,Pantry,Confectionery,Chewing Gum & Mints,1.99,ea,FALSE,,1.99,1.99,1,Club Deal
8701,5010825-EA-000NW,Eta Ripple Cut Chicken Potato Chips,New World Mt Roskill,Pantry,Snack Foods,Potato Chips,1.8,ea,FALSE,Limit 12 assorted,1.8,1.8,1,Super Saver
