,ProductId,ProductName,Branch,level_1,level_2,level_3,Image,ProductUrl,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
6559,5028405-EA-000NW,K Zone Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028405.png,www.ishopnewworld.co.nz/product/5028405_ea_000nw?name=magazine,7.99,ea,False,No,7.99,0.0,0.0,No
6560,5028421-EA-000NW,NZ Woman's Weekly Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028421.png,www.ishopnewworld.co.nz/product/5028421_ea_000nw?name=magazine,4.8,ea,False,No,4.8,0.0,0.0,No
6561,5028423-EA-000NW,North & South Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028423.png,www.ishopnewworld.co.nz/product/5028423_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6562,5028424-EA-000NW,Metro Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028424.png,www.ishopnewworld.co.nz/product/5028424_ea_000nw?name=magazine,9.99,ea,False,No,9.99,0.0,0.0,No
6563,5028432-EA-000NW,Better Homes & Gardens Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028432.png,www.ishopnewworld.co.nz/product/5028432_ea_000nw?name=magazine,7.9,ea,False,No,7.9,0.0,0.0,No
6564,5028434-EA-000NW,Cuisine Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028434.png,www.ishopnewworld.co.nz/product/5028434_ea_000nw?name=magazine,11.5,ea,False,No,11.5,0.0,0.0,No
6565,5028435-EA-000NW,NZ Gardiner Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028435.png,www.ishopnewworld.co.nz/product/5028435_ea_000nw?name=magazine,8.2,ea,False,No,8.2,0.0,0.0,No
6566,5028436-EA-000NW,New Idea Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028436.png,www.ishopnewworld.co.nz/product/5028436_ea_000nw?name=magazine,4.8,ea,False,No,4.8,0.0,0.0,No
6567,5028439-EA-000NW,New Weekly Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028439.png,www.ishopnewworld.co.nz/product/5028439_ea_000nw?name=magazine,5.5,ea,False,No,5.5,0.0,0.0,No
6568,5028441-EA-000NW,NZ House & Garden Magazine,New World Mt Roskill,"Kitchen, Dining & Household",Stationery & Entertainment,Magazines,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5028441.png,www.ishopnewworld.co.nz/product/5028441_ea_000nw?name=magazine,10.3,ea,False,No,10.3,0.0,0.0,No
